id,poliparty_ego,poliparty_alter1,poliparty_alter2,poliparty_alter3,poliparty_alter4,poliparty_alter5,poliparty_alter6,poliparty_alter7,poliparty_alter8,poliparty_alter9,poliparty_alter10,poliparty_alter11,poliparty_alter12,poliparty_alter13,poliparty_alter14,poliparty_alter15
A1M682B2WUSYJP,2 - Democratic Party,Yes,Yes,,,,No,Yes,,,Yes,,,,,
A36GTTPW17HUL1,1 - Republican Party,No,Yes,No,,,,,,,,,,,,
A2CY1TSQ3KKP5Q,1 - Republican Party,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,
A98E8M4QLI9RS,2 - Democratic Party,Yes,Yes,No,Yes,Yes,,,,,,,,,,
A1JWKT0IS06YKL,1 - Republican Party,No,No,Yes,No,No,,No,,No,No,,,,,
A107RJSS561Y7R,1 - Republican Party,Yes,Yes,No,No,Yes,,,No,No,No,,,,,
A147F5PJTHOB8A,2 - Democratic Party,,No,,No,,,Yes,No,,,Yes,,,,
APGX2WZ59OWDN,2 - Democratic Party,Yes,Yes,Yes,,,,,,,,,,,,
A2SJC9VRBGNC58,1 - Republican Party,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,,,,
A3J55BJGV95JKH,2 - Democratic Party,Yes,Yes,Yes,,,,,,,,,,,,
A3VTOW7WLPTBRR,2 - Democratic Party,Yes,Yes,Yes,,,,,,,,,,,,
A1BVG13MHBM1YD,1 - Republican Party,Yes,Yes,,,,,,,,,,,,,
A2Q3FS9G8ITCN7,1 - Republican Party,Yes,Yes,Yes,,,,,,,,,,,,
AJAKX491SGILM,2 - Democratic Party,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
A3U21PUMQ6NGT2,2 - Democratic Party,Yes,No,Yes,,,,,,,,,,,,
A21Q7FCKM86VL8,2 - Democratic Party,Yes,No,Yes,Yes,Yes,,,,,,,,,,
A2JP9IKRHNLRPI,2 - Democratic Party,Yes,Yes,,,,,,,,,,,,,
AHOQWPD49OMW3,1 - Republican Party,Yes,,,,,,,,,,Yes,,,,
A9ZCY6FLUCIU1,2 - Democratic Party,Yes,Yes,Yes,,,,,,,,,,,,
A2HHKBW8HQWI66,2 - Democratic Party,Yes,Yes,Yes,,,,,,,,,,,,
A2KBTDHM44J7X4,1 - Republican Party,Yes,Yes,,,,Yes,Yes,,,,Yes,Yes,,,
A2MUCL20GTQJA0,2 - Democratic Party,Yes,Yes,Yes,,,,,Yes,,,,,,,
AREQ43Q0T8ENT,1 - Republican Party,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes
A3908297ZI3LES,2 - Democratic Party,Yes,Yes,,,,,,,,,,,,,
A1OSRB1Q63XXWZ,2 - Democratic Party,Yes,Yes,Yes,,,,,Yes,,,,Yes,,,
A3V4SRRO18ELMV,2 - Democratic Party,Yes,,,Yes,Yes,,,No,,,Yes,,No,No,
A2SD7GN80U31GW,2 - Democratic Party,Yes,Yes,,,,,,,,,,,,,
A77K8W55MJEKX,2 - Democratic Party,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,
AQJWO4YPR3LUQ,2 - Democratic Party,No,Yes,Yes,,,,,,Yes,,,,,,
ACFPXI6LMHSZU,2 - Democratic Party,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,
A2A5HAPJD18TRU,2 - Democratic Party,Yes,Yes,Yes,No,No,,,,,,,,,,
AQYYBOOF0846O,2 - Democratic Party,Yes,Yes,Yes,Yes,No,,,,,,,,,,
A2MCG5W6LHSRG9,2 - Democratic Party,No,Yes,Yes,Yes,,No,No,,,,,,,,
A1NFBKUYYVUYWF,1 - Republican Party,Yes,No,No,No,No,,No,,,,,,,,
A143XRCI1YXAFE,2 - Democratic Party,Yes,Yes,No,Yes,Yes,,,,Yes,Yes,,,,,
A12FTSX85NQ8N9,2 - Democratic Party,Yes,No,,,,,Yes,No,,,,,,,
A1QUBLZCONL4QD,1 - Republican Party,,No,,No,No,Yes,No,,,,,No,No,,
AWY6W20U8H3JA,2 - Democratic Party,Yes,Yes,Yes,Yes,,,,,,,,,,,
AGKCK081EU63R,2 - Democratic Party,Yes,Yes,Yes,,,,,,,,,,,,
ABX5OQLR6UNBC,2 - Democratic Party,Yes,Yes,Yes,,,,,,,,,,,,
A3A8P4UR9A0DWQ,1 - Republican Party,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,
A34DWBBWZRLO1X,2 - Democratic Party,Yes,Yes,,,,,Yes,Yes,Yes,,,,,,
A36Z98LFRR041Q,1 - Republican Party,Yes,Yes,No,Yes,Yes,,,,Yes,,,,,,
A2GNG7DWHQA6ZZ,2 - Democratic Party,Yes,,,,,,Yes,,,,,,,,
A1F9KLZGHE9DTA,1 - Republican Party,Yes,No,No,Yes,No,,,,,,,,,,
A35K3YVCX1LVPE,2 - Democratic Party,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,
A3LNM77PCQOTHJ,2 - Democratic Party,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
A2NT3OQZUUZPEO,2 - Democratic Party,Yes,No,Yes,No,Yes,,,,,,,Yes,Yes,No,No
A4WBW7FVQASZE,2 - Democratic Party,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,
A2QTV4TFK4VCEF,2 - Democratic Party,No,No,Yes,Yes,,,,,,,,,,,
A394S7JSNUA3TS,1 - Republican Party,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,
